index,user_id,gender,age_group,LSM_group1,share_your_home_with,including_yourself_how_many_people_do_you_share_your_home_with,do_to_try_to_stay_healthy,drives_you_to_have_a_healthy_lifestyle,eat_or_drink,steps_to_eat_drink_more_healthily,how_regularly_do_you_exercise,exercise_do_you_enjoy,do_to_help_you_sleep,before_you_go_to_sleep
425,946426700.0,Male,18-24,High,"[""Children under 18 years old"", ""Children over 18 years old"", ""Parents"", ""Other family members""]",5+,"[""Take vitamin / other supplements"", ""Stress control methods"", ""Taking time to relax"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Drink lots of water / fluids""]","[""To make the most of treats / indulgent moments"", ""To improve brain function/ memory"", ""To make the most out of/enjoy life""]","[""Low sugar"", ""Low calorie"", ""Halal"", ""Low salt"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Snacking less often"", ""Shopping at places that have a wide selection of healthy options"", ""Eating out / ordering takeout less frequently""]",Less often,,"[""Have a bath"", ""Take herbal supplements"", ""Have herbal tea""]","[""Watching TV"", ""Caffeine"", ""Browsing on my cell phone / tablet""]"
426,3384715880.0,Male,25-34,High,"[""Partner / spouse""]",2.0,"[""Stay hydrated"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Stress control methods"", ""Meditation / positive mindset methods""]","[""Feeling good about myself"", ""To improve brain function/ memory"", ""Have more energy""]","[""None of the above""]","[""Snacking less often""]",3+ times a week,"[""Weights""]","[""Meditate""]","[""Caffeine"", ""Heavy meal"", ""Watching TV""]"
427,742337997.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Taking time to relax"", ""Take vitamin / other supplements"", ""Drink lots of water / fluids""]","[""Prevent health conditions in later life"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""Halal"", ""Low sugar"", ""Low salt""]","[""Eating out / ordering takeout less frequently"", ""Eating dessert less often""]",Few times a month,"[""Hiking"", ""Walking""]","[""No, none of these""]","[""Heavy meal""]"
428,4301841184.0,Male,18-24,Medium,"[""Parents""]",4.0,"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Eat healthily""]","[""To improve my sleep"", ""Feeling good about myself"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Counting / tracking calories""]",Twice a week,"[""Running""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet""]"
429,687097989.0,Male,25-34,Low,"[""Parents""]",2.0,"[""Eat healthily"", ""Drink lots of water / fluids""]","[""To improve brain function/ memory"", ""To live longer"", ""Have more energy""]","[""Vegan: eat no meat, fish, or dairy""]","[""Cooking more meals at home""]",Few times a month,"[""Weights"", ""Walking""]","[""No, none of these""]","[""No, none of these""]"
431,4586234763.0,Female,18-24,High,"[""Parents""]",4.0,"[""Eat healthily"", ""Make sure I get enough sleep"", ""Stay hydrated"", ""Drink lots of water / fluids""]","[""To improve brain function/ memory"", ""To improve my sleep"", ""To make the most out of/enjoy life""]","[""Halal"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Snacking less often"", ""Making an effort to find healthy recipes""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
433,3432836851.0,Male,18-24,High,"[""Parents""]",5+,"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Exercise regularly"", ""Meditation / positive mindset methods""]","[""Feeling good about myself""]","[""Vegetarian: eat no meat or fish""]","[""Shopping at places that have a wide selection of healthy options""]",Twice a week,"[""Cycling"", ""Swimming"", ""Running""]","[""No, none of these""]","[""No, none of these""]"
434,1252904588.0,Male,35-44,High,"[""Partner / spouse""]",3.0,"[""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""To set a good example for my family"", ""Prevent health conditions in later life"", ""To lose / manage my weight""]","[""Halal"", ""High protein"", ""Low calorie"", ""Low / zero carb""]","[""Watching the size of my portions"", ""Eating dessert less often"", ""Trying to have a variety of colors on my plate""]",3+ times a week,"[""Running"", ""Cardio / Aerobics / Water aerobics"", ""Strength training"", ""Weights""]","[""No, none of these""]","[""Alcohol"", ""Heavy meal"", ""Caffeine""]"
435,596878380.0,Female,25-34,High,"[""Parents"", ""Other family members""]",4.0,"[""Take vitamin / other supplements"", ""Taking time to relax"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""To make the most of treats / indulgent moments"", ""Feeling good about myself"", ""To make the most out of/enjoy life""]","[""Halal"", ""Low salt"", ""Low sugar"", ""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Trying to have a variety of colors on my plate"", ""Watching the size of my portions"", ""Eating out / ordering takeout less frequently"", ""Filling half my plate with vegetables"", ""Checking / reading the ingredients in food / drink products"", ""Cooking more meals at home""]",Once a week,"[""Running"", ""Weights"", ""Walking""]","[""No, none of these""]","[""Heavy meal"", ""Alcohol"", ""Caffeine""]"
437,1478280745.0,Other,18-24,Low,"[""Other family members"", ""Parents""]",5+,"[""Stay hydrated"", ""Make sure I get enough sleep""]","[""To lose / manage my weight"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]","[""Flexitarian: eat meat but control the amount eaten"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes"", ""Counting / tracking calories"", ""Shopping at places that have a wide selection of healthy options""]",Never,,"[""Meditate""]","[""Checking emails"", ""Browsing on my cell phone / tablet""]"
440,3201394502.0,Male,18-24,High,"[""Parents""]",4.0,"[""Drink lots of water / fluids"", ""Exercise regularly""]","[""To make the most of treats / indulgent moments"", ""Have more energy"", ""To lose / manage my weight""]","[""Halal""]","[""Shopping at places that have a wide selection of healthy options""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics"", ""Running"", ""Weights"", ""Strength training"", ""Circuit training/ HIIT""]","[""Have warm milk""]","[""Heavy meal""]"
441,3408948279.0,Female,18-24,High,"[""I live alone""]",1,"[""Drink lots of water / fluids"", ""Stress control methods"", ""Meditation / positive mindset methods"", ""Taking time to relax"", ""Stay hydrated"", ""Exercise regularly"", ""Eat healthily"", ""Make sure I get enough sleep""]","[""Have more energy"", ""To lose / manage my weight"", ""To improve my sleep""]","[""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Checking nutritional value of the food / drink I purchase""]",Twice a week,"[""Cycling"", ""Running"", ""Walking"", ""Yoga/Pilates""]","[""Have a bath""]","[""Browsing on my cell phone / tablet""]"
443,4039058145.0,Female,25-34,Low,"[""Partner / spouse""]",4.0,"[""Eat healthily"", ""Take vitamin / other supplements"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""To set a good example for my family""]","[""Low cholesterol""]","[""Checking nutritional value of the food / drink I purchase""]",Once a week,"[""Walking"", ""Running""]","[""No, none of these""]","[""Browsing on my cell phone / tablet""]"
445,5332610270.0,Male,18-24,Medium,"[""Parents""]",5+,"[""Taking time to relax"", ""Make sure I get enough sleep"", ""Exercise regularly"", ""Meditation / positive mindset methods"", ""Eat healthily""]","[""To make the most of treats / indulgent moments"", ""Have more energy"", ""To set a good example for my family""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Eating dessert less often"", ""Filling half my plate with vegetables"", ""Snacking less often""]",3+ times a week,"[""Running""]","[""Have warm milk""]","[""Watching TV""]"
447,1158443008.0,Female,25-34,Medium,"[""I live alone""]",1,"[""Eat healthily"", ""Stay hydrated"", ""Make sure I get enough sleep""]","[""To lose / manage my weight"", ""Feeling good about myself"", ""To make the most of treats / indulgent moments""]","[""Low sugar""]","[""Cooking more meals at home"", ""Eating out / ordering takeout less frequently"", ""Making an effort to find healthy recipes"", ""Trying to have a variety of colors on my plate"", ""Filling half my plate with vegetables"", ""Snacking less often"", ""Eating dessert less often""]",Less often,,"[""No, none of these""]","[""Alcohol"", ""Caffeine"", ""Heavy meal"", ""Checking emails""]"
448,6097328985.0,Female,25-34,High,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Taking time to relax"", ""Eat healthily"", ""Take vitamin / other supplements""]","[""To support my family"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""High protein"", ""Low sugar"", ""Low cholesterol""]","[""Trying to have a variety of colors on my plate"", ""Cooking more meals at home"", ""Making an effort to find healthy recipes""]",Few times a month,"[""Swimming""]","[""No, none of these""]","[""No, none of these""]"
451,5360103864.0,Male,35-44,Medium,"[""Parents""]",4.0,"[""Exercise regularly"", ""Stay hydrated"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""Prevent health conditions in later life"", ""To live longer"", ""To improve brain function/ memory""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Filling half my plate with vegetables""]",3+ times a week,"[""Running""]","[""Have a bath""]","[""Caffeine""]"
452,3447990182.0,Female,45+,High,"[""Partner / spouse""]",4.0,"[""Stay hydrated"", ""Exercise regularly"", ""Taking time to relax""]","[""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life"", ""Feeling good about myself""]",,"[""Trying to have a variety of colors on my plate"", ""Snacking less often""]",Twice a week,"[""Hiking""]","[""No, none of these""]","[""No, none of these""]"
453,6451649134.0,Male,25-34,Medium,"[""Partner / spouse""]",2.0,"[""Exercise regularly"", ""Taking time to relax"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Eat healthily""]","[""To improve my sleep"", ""Feeling good about myself"", ""Prevent health conditions in later life""]","[""Keto"", ""Low sugar"", ""Low / zero carb"", ""Low calorie"", ""Low cholesterol""]","[""Filling half my plate with vegetables"", ""Making an effort to find healthy recipes"", ""Shopping at places that have a wide selection of healthy options"", ""Eating dessert less often"", ""Snacking less often"", ""Trying to have a variety of colors on my plate""]",Once a week,"[""Running""]","[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Checking emails"", ""Caffeine"", ""Watching TV"", ""Heavy meal"", ""Browsing on my cell phone / tablet""]"
454,6496991538.0,Male,35-44,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Taking time to relax"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Stay hydrated"", ""Eat healthily"", ""Stress control methods""]","[""To live longer"", ""To make the most out of/enjoy life"", ""To manage a health / medical condition""]","[""Flexitarian: eat meat but control the amount eaten"", ""Halal"", ""Low sugar"", ""Low calorie"", ""Low cholesterol""]","[""Snacking less often"", ""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Cooking more meals at home"", ""Counting / tracking calories""]",Few times a month,"[""Walking"", ""Cycling""]","[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Heavy meal"", ""Browsing on my cell phone / tablet"", ""Caffeine""]"
456,3144591274.0,Male,25-34,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Drink lots of water / fluids""]","[""To improve brain function/ memory"", ""Prevent health conditions in later life"", ""To manage a health / medical condition""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Halal"", ""Dairy free""]","[""Shopping at places that have a wide selection of healthy options""]",Less often,,"[""No, none of these""]","[""Checking emails"", ""Caffeine"", ""Heavy meal""]"
457,5230581200.0,Female,25-34,Medium,"[""Partner / spouse"", ""Children under 18 years old"", ""Parents""]",5+,"[""Drink lots of water / fluids"", ""Eat healthily"", ""Meditation / positive mindset methods""]","[""To manage a health / medical condition"", ""To set a good example for my family"", ""To live longer""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Eating out at places that have healthy options available""]",Once a week,"[""Swimming""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Browsing on my cell phone / tablet""]"
459,11799792.0,Female,18-24,Medium,"[""Friends / Roommates""]",3.0,"[""Exercise regularly""]","[""To improve brain function/ memory""]","[""Low calorie""]","[""Cooking more meals at home""]",3+ times a week,"[""Cardio / Aerobics / Water aerobics""]","[""Have a bath""]","[""Alcohol""]"
